Set,Typ,Serien-Nr,Anlagen-Nr,Anmerkungen

FOTOKAMERAS


Set,Typ,Serien-Nr,Anlagen-Nr,Ladegerät
F01,"Nikon D60, 18-55mm + Blitz",6045864.0,3.12000402703E15,j
F02,"Nikon D5000, 18-200mm + Blitz",6552916.0,3.12000403768E15,j
F03,"Nikon D5100, 18-105mm + Blitz",6069276.0,3.12002859259E15,j
F04,"Nikon D5100, 18-105mm",6398280.0,3.12000403964E15,j
F05,"Nikon D5100, 18-105mm",6639166.0,j
F06,"Nikon D90, 18-105mm",6940078.0,3.12002859261E15,j
F07,"Nikon D90, 18-105mm",6939828.0,3.1200285926E15,j


F11,"Nikon D3100, 18-105mm",1166939.0,4.00000218246E15,j
F12,"Nikon D3100, 18-105mm",1166917.0,4.00000218247E15,j
F13,"Nikon D3100, 18-105mm",1166458.0,4.00000218248E15,j
F14,"Nikon D3100, 18-105mm",1166936.0,4.00000218249E15,j
F15,"Nikon D3100, 18-105mm",1166468.0,4.00000096283E15,j
F16,"Nikon D3100, 18-105mm",1166470.0,4.00000096284E15,j
F17,"Nikon D3100, 18-105mm",1166937.0,4.00000096285E15,j
F18,"Nikon D3100, 18-105mm",1264351.0,4.00000096286E15,j
F19,"Nikon D3100, 18-105mm",1264381.0,4.00000096287E15,j
F20,"Nikon D3100, 18-105mm",1228520.0,4.00000096288E15,j
F21,"Nikon D3100, 18-105mm",1264386.0,4.00000096289E15,j
F22,"Nikon D3200, 18-105mm",7458062.0,4.00000593152E15,j
F23,"Nikon D3200, 18-105mm",7458064.0,4.00000593151E15,j
F24,"Nikon D3200, 18-105mm",7458166.0,4.0000059315E15,j
F25,"Nikon D3200, 18-105mm",7458761.0,4.00000593149E15,j
F26,"Nikon D3200, 18-105mm",7458768.0,4.00000593148E15,j
F27,"Nikon D3200, 18-105mm",7458682.0,4.00000593147E15,j
F28,"Nikon D3200, 18-105mm",7458767.0,4.00000593146E15,j
F29,"Nikon D3200, 18-105mm",7458033.0,4.00000593145E15,j
F30,"Nikon D3200, 18-105mm",7458143.0,4.00000593144E15,j
F31,"Nikon D3200, 18-105mm",7458065.0,4.00000593143E15,j
F32,"Nikon D3300, 18-105mm",6772745.0,4.00000975938E15,j
F33,"Nikon D3300, 18-105mm",6772802.0,4.00000975939E15,j
F34,"Nikon D3300, 18-105mm",6786748.0,4.0000097594E15,j
F35,"Nikon D3300, 18-105mm",6787107.0,4.00000990819E15,j
F36,"Nikon D3300, 18-105mm",6204885.0,4.0000099082E15,j
F37,"Nikon D3400, 18-105",6316586.0,4.00001580155E12,j
F38,"Nikon D3400, 18-105",6412163.0,4.00001580156E12,j
F39,"Nikon D3400, 18-105",6412227.0,4.00001580157E12,j
F40,"Nikon D3500, 18-105mm",6052274.0,4.00001782637E11,j
F41,"Nikon D5600, 18-105mm",6133387.0,4.0000178264E11,j











"Stand "

























































































































































































































































































































































































































































































































































































































































































































































































































































































































































































